state;postal;city;street;container;note
Niederösterreich;2070;Retz;Fladnitzerstraße 44-46;1;
Niederösterreich;2100;Leobendorf;Schmiedgasse 15 bei Feuerwehr;2;
Niederösterreich;2100;Leobendorf;Im Hausholz 8;1;
Niederösterreich;2100;Leobendorf;Pfarrweg 15;1;
Niederösterreich;2100;Leobendorf;Dr. Ansorge Straße 1;1;
Niederösterreich;2100;Leobendorf;Stockerauer Straße Ecke Kreuzsteinerweg;2;
Niederösterreich;2102;Bisamberg;Kaiserallee 23;1;
Niederösterreich;2103;Langenzersdorf;Krottendorferstraße 50;1;
Niederösterreich;2103;Langenzersdorf;Alleestraße 75-77 am Parkplatz;2;
Niederösterreich;2103;Langenzersdorf;Friedhofstraße;3;
Niederösterreich;2103;Langenzersdorf;Alleestraße 111;1;
Niederösterreich;2103;Langenzersdorf;Schulstraße 50;2;
Niederösterreich;2104;Spillern;Marienhofstraße 8 bei Sportplatz;1;
Niederösterreich;2104;Spillern;Kirchenplatz;2;
Niederösterreich;2105;Unterrohrbach;Badgasse 21;1;
Niederösterreich;2105;Oberrohrbach;Hofstraße/Heimgasse;1;
Niederösterreich;2105;Oberrohrbach;Leobendorfer Straße/Schaflerhofweg;1;
Niederösterreich;2111;Tresdorf;Obere Hauptstraße/Laaer Straße;1;
Niederösterreich;2113;Wetzleinsdorf;Brunnenweg 7;1;
Niederösterreich;2113;Hipples;Bachstraße 5;1;
Niederösterreich;2114;Weinsteig;Am Graben - bei Feuerwehr;1;
Niederösterreich;2116;Niederleis;Hauptstraße 71;1;
Niederösterreich;2120;Obersdorf;Kirschenalle/Sportplatz;3;
Niederösterreich;2122;Ulrichskirchen;Florianiplatz 2 bei Feuerwehr;2;
Niederösterreich;2122;Ulrichskirchen;Hofberggasse 1;1;
Niederösterreich;2123;Traunfeld;Bachstraße 2;1;
Niederösterreich;2124;Niederkreuzstetten;Kirchenplatz 4;1;
Niederösterreich;2130;Mistelbach;Haydngasse - Parkplatz;1;
Niederösterreich;2191;Gaweinstal;Kirchenplatz 1;1;
Niederösterreich;2221;Groß Schweinbarth;Kirchenplatz 1;1;
Niederösterreich;2230;Gänserndorf;Kirchenplatz 1;1;
Niederösterreich;2231;Strasshof;Pestalozzistraße 62 - Kirche;1;
Niederösterreich;2231;Strasshof;Hauptstraße Silberwald 400 - Pfarrheim;1;
Niederösterreich;2320;Schwechat;Zirkelweg 3;1;
Niederösterreich;2334;Vösendorf;SCS  Eingang 4 Innen beim Service Corner;1;
Niederösterreich;2326;Maria Lanzendorf;Obere Hauptstraße 37;3;
Niederösterreich;2326;Maria Lanzendorf;Hauptstraße 4;1;
Niederösterreich;2340;Mödling;Mölkergasse 7;1;
Niederösterreich;2340;Mödling;Ungargasse 5;1;
Niederösterreich;2340;Maria Enzersdorf;Gabrielerstraße 171 - bei Kirche und im Hof;1;
Niederösterreich;2353;Neu Guntramsdorf;Dr. Karl Renner Straße 19;1;
Niederösterreich;2361;Laxenburg;Schlossplatz 5 - im Hof bei Kirche;1;
Niederösterreich;2380;Perchtoldsdorf;Sebastian-Kneipp-Gasse 11;1;
Niederösterreich;2380;Perchtoldsdorf;Marktplatz 14;1;
Niederösterreich;2384;Breitenfurt;Bonifaziusgasse 2 - bei Kirche;1;
Niederösterreich;2384;Breitenfurt;Hauptstraße 128;2;
Niederösterreich;2412;Wolfsthal;Hauptstraße 36;1;
Niederösterreich;2440;Gramatneusiedl;Oberortsstraße 1;1;
Niederösterreich;2454;Trautmannsdorf;Hauptstraße 45a;1;
Niederösterreich;2460;Bruck an der Leitha;Kochgasse 6;2;
Niederösterreich;2514;Traiskirchen;Glöckelstraße 24;4;
Niederösterreich;3001;Mauerbach;Mistplatz Kutscherstall Einfahrt Bauhof;1;
Niederösterreich;3001;Mauerbach;Hauptstraße/Steinbachstraße;3;
Niederösterreich;3003;Gablitz;Hochbuchstraße 18;2;
Niederösterreich;3003;Gablitz;Linzerstraße 77;1;
