state;postal;city;street;container;note;lon;lat
Wien;1220;Wien;Bergengasse 6;1;;16.4737068;48.2148763
Wien;1220;Wien;Claretinergasse 1-3;1;;16.4668768;48.2358398
Wien;1220;Wien;Donaufelder Str. 177a;1;;16.4320341;48.251166
Wien;1220;Wien;Hyazinthengasse 74;1;;16.4676931;48.2321325
Wien;1220;Wien;Gartenheimstraße/Fellnerstraße;1;;;
Wien;1220;Wien;Strasse der Menschenrechte 1;1;Vienna Int. School;16.43108072934644;48.2453044
Wien;1220;Wien;Klara-Blum-Gasse 4;1;;16.5258429359548;48.2105855
Wien;1220;Wien;Hammerfestweg/Sandefjordgasse;1;;;
Wien;1220;Wien;Kapellenweg 40;1;;16.4702547;48.218225
Wien;1220;Wien;Langobardenstraße/Ecke Sandefjordgasse 2;1;;;
Wien;1220;Wien;Markomannenstraße 36-38;1;;16.4591255;48.255473
Wien;1220;Wien;Meißauergasse 2a/1;1;;16.438936;48.248264
Wien;1220;Wien;Asperner Heldenplatz 9;2;;16.482986276365544;48.218037249999995
Wien;1220;Wien;Quadenstraße 53;1;;16.481370216060952;48.23822355
Wien;1220;Wien;Süßenbrunnerstraße 58/Hanfgasse;1;;;
Wien;1220;Wien;Ullreichgasse 12;1;;16.434134510026368;48.2528308
Wien;1220;Wien;Auernheimergasse 47;1;;16.522265;48.2032951
Wien;1220;Wien;Erzherzog Karl Straße 129 b;1;;16.457427;48.2292925
Wien;1220;Wien;Wagramer Straße 81/2/3;1;;16.434159;48.2428058
Wien;1230;Wien;Anton-Krieger-Gasse 2-16;1;;16.28169381292904;48.14072605
Wien;1230;Wien;Anton-Krieger-Gasse 202;1;;16.2554547;48.1454666
Wien;1230;Wien;Erlaaerplatz 4;1;;16.3084552;48.1479703
Wien;1230;Wien;Johann-Dunkl-Gasse 9-13;1;;16.3466786;48.1459764
Wien;1230;Wien;Färbermühlgasse 6;1;;16.28235991382402;48.133717000000004
Wien;1230;Wien;Pfarre Rodaun, Schreckgasse 19;1;;;
Wien;1230;Wien;Franz Asenbauer Gasse 51;1;;16.2629051;48.1568352
Wien;1230;Wien;Ober den Gärten über Podhgasse;1;;;
Wien;1230;Wien;Endresstraße 59/Rudolf-Zellergasse;2;;16.283129;48.147326
Wien;1230;Wien;Reklewskigasse 2-10/Eduard-Kittenberg-Gasse;1;;;
Wien;1230;Wien;Trepetschniggasse 4;1;;16.3044129;48.150440700000004
Niederösterreich;2020;Hollabrunn;Reucklstraße 1;1;;16.08400296995903;48.560556899999995
Niederösterreich;2020;Hollabrunn;Kirchenplatz;5;;16.0807996;48.5611328
Niederösterreich;2051;Zellerndorf;Bahnstraße 244;1;;15.9657025;48.6745354
Niederösterreich;2070;Retz;Fladnitzerstraße 44-46;1;;15.9412349;48.7709666
Niederösterreich;2100;Leobendorf;Schmiedgasse 15 bei Feuerwehr;2;;;
Niederösterreich;2100;Leobendorf;Im Hausholz 8;1;;16.31988049407228;48.3757516
Niederösterreich;2100;Leobendorf;Pfarrweg 15;1;;16.31723674184444;48.375810900000005
Niederösterreich;2100;Leobendorf;Dr. Ansorge Straße 1;1;;16.3158186;48.3735404
Niederösterreich;2100;Leobendorf;Stockerauer Straße Ecke Kreuzsteinerweg;2;;;
Niederösterreich;2102;Bisamberg;Kaiserallee 23;1;;16.3430579;48.3389346
Niederösterreich;2103;Langenzersdorf;Krottendorferstraße 50;1;;16.3726861;48.2953205
Niederösterreich;2103;Langenzersdorf;Alleestraße 75-77 am Parkplatz;2;;;
Niederösterreich;2103;Langenzersdorf;Friedhofstraße;3;;16.3608445;48.3063638
Niederösterreich;2103;Langenzersdorf;Alleestraße 111;1;;16.3551328;48.3007091
Niederösterreich;2103;Langenzersdorf;Schulstraße 50;2;;16.3563853;48.3085213
Niederösterreich;2104;Spillern;Marienhofstraße 8 bei Sportplatz;1;;;
Niederösterreich;2104;Spillern;Kirchenplatz;2;;16.2548035;48.377385
Niederösterreich;2105;Unterrohrbach;Badgasse 21;1;;16.290530957794342;48.38151645
Niederösterreich;2105;Oberrohrbach;Hofstraße/Heimgasse;1;;;
Niederösterreich;2105;Oberrohrbach;Leobendorfer Straße/Schaflerhofweg;1;;;
Niederösterreich;2111;Tresdorf;Obere Hauptstraße/Laaer Straße;1;;;
Niederösterreich;2113;Wetzleinsdorf;Brunnenweg 7;1;;16.382712;48.4764919
Niederösterreich;2113;Hipples;Bachstraße 5;1;;;
Niederösterreich;2114;Weinsteig;Am Graben - bei Feuerwehr;1;;;
Niederösterreich;2116;Niederleis;Hauptstraße 71;1;;16.3975547;48.5521153
Niederösterreich;2120;Obersdorf;Kirschenalle/Sportplatz;3;;;
Niederösterreich;2122;Ulrichskirchen;Florianiplatz 2 bei Feuerwehr;2;;;
Niederösterreich;2122;Ulrichskirchen;Hofberggasse 1;1;;16.490525501884576;48.4023801
Niederösterreich;2123;Traunfeld;Bachstraße 2;1;;16.5229367;48.4439656
Niederösterreich;2124;Niederkreuzstetten;Kirchenplatz 4;1;;16.4798597;48.4805879
Niederösterreich;2130;Mistelbach;Haydngasse - Parkplatz;1;;16.5733864;48.5639442
Niederösterreich;2191;Gaweinstal;Kirchenplatz 1;1;;16.5882491;48.4778441
Niederösterreich;2221;Groß Schweinbarth;Kirchenplatz 1;1;;16.6309593;48.4142717
Niederösterreich;2230;Gänserndorf;Kirchenplatz 1;1;;16.720090335457407;48.34177985
Niederösterreich;2231;Strasshof;Pestalozzistraße 62 - Kirche;1;;;
Niederösterreich;2231;Strasshof;Hauptstraße Silberwald 400 - Pfarrheim;1;;;
Niederösterreich;2320;Schwechat;Zirkelweg 3;1;;16.47640619171453;48.130891899999995
Niederösterreich;2334;Vösendorf;SCS  Eingang 4 Innen beim Service Corner;1;;;
Niederösterreich;2326;Maria Lanzendorf;Obere Hauptstraße 37;3;;16.432985;48.1040064
Niederösterreich;2326;Maria Lanzendorf;Hauptstraße 4;1;;16.42468232310606;48.1008689
Niederösterreich;2340;Mödling;Mölkergasse 7;1;;16.29048669887391;48.0852507
Niederösterreich;2340;Mödling;Ungargasse 5;1;;16.3023698;48.088916
Niederösterreich;2340;Maria Enzersdorf;Gabrielerstraße 171 - bei Kirche und im Hof;1;;;
Niederösterreich;2353;Neu Guntramsdorf;Dr. Karl Renner Straße 19;1;;;
Niederösterreich;2361;Laxenburg;Schlossplatz 5 - im Hof bei Kirche;1;;;
Niederösterreich;2380;Perchtoldsdorf;Sebastian-Kneipp-Gasse 11;1;;16.280700796408155;48.1259192
Niederösterreich;2380;Perchtoldsdorf;Marktplatz 14;1;;16.2652354;48.1187893
Niederösterreich;2384;Breitenfurt;Bonifaziusgasse 2 - bei Kirche;1;;;
Niederösterreich;2384;Breitenfurt;Hauptstraße 128;2;;16.208641341946603;48.13682205
Niederösterreich;2412;Wolfsthal;Hauptstraße 36;1;;17.0053564;48.1371869
Niederösterreich;2440;Gramatneusiedl;Oberortsstraße 1;1;;16.4856717;48.0275835
Niederösterreich;2454;Trautmannsdorf;Hauptstraße 45a;1;;16.641889458606293;48.0233951
Niederösterreich;2460;Bruck an der Leitha;Kochgasse 6;2;;16.7776215;48.02651
Niederösterreich;2514;Traiskirchen;Glöckelstraße 24;4;;16.283005177471594;48.015548800000005
Niederösterreich;3001;Mauerbach;Mistplatz Kutscherstall Einfahrt Bauhof;1;;;
Niederösterreich;3001;Mauerbach;Hauptstraße/Steinbachstraße;3;;;
Niederösterreich;3003;Gablitz;Hochbuchstraße 18;2;;16.158023681303494;48.22356455
Niederösterreich;3003;Gablitz;Linzerstraße 77;1;;16.157921510183833;48.22656215000001
Niederösterreich;3003;Gablitz;Hauersteigstraße 51;1;;16.141480610768703;48.22418625
Niederösterreich;3003;Gablitz;Kirchenplatz 2;1;;;
Niederösterreich;3003;Gablitz;Ferdinand-Ebner-Gasse 6;1;;16.15271606444194;48.2286034
Niederösterreich;3003;Gablitz;Linzer Straße 165 b;1;;16.161919;48.2227942
Niederösterreich;3003;Gablitz;Linzer Straße bei Miterauenstraße;1;;;
Niederösterreich;3011;Untertullnerbach;Irenental 1;2;;16.1164686;48.1986128
Niederösterreich;3012;Wolfsgraben;Hauptstraße 27;2;;16.122354038285714;48.1587985
Niederösterreich;3021;Pressbaum;Hauptstraße 75;2;;16.07760867193037;48.17928485
Niederösterreich;3400;Klosterneuburg;Tullnerstraße 5, Scheiblingstein;1;;;
Niederösterreich;3400;Klosterneuburg;Kirchenplatz 1;1;;16.274226567174303;48.3084274
Niederösterreich;3400;Klosterneuburg;Hauptstraße 12;1;;16.30799164332128;48.2904211
Niederösterreich;3400;Klosterneuburg;Sachsengasse 2;3;;16.3300821;48.2934883
Niederösterreich;3400;Klosterneuburg;Stiftsplatz 5;1;;;
Niederösterreich;3400;Klosterneuburg;Brandmayerstraße 50;1;;16.322228921651984;48.292359399999995
Niederösterreich;3420;Kritzendorf;St. Vitus Platz;2;;16.3026966;48.3276847
Niederösterreich;3421;Höflein;Schulgasse 5;1;;16.2746429;48.3496512
Niederösterreich;3464;Hausleiten;Kirchenstraße 41;2;;16.0955442;48.3968331
Niederösterreich;3701;Großweikersdorf;Schmidastraße 2;1;;15.9808276;48.4693879
Niederösterreich;3720;Ravelsbach;Parkweg;3;;15.8487573;48.5525622
Niederösterreich;2120;Wolkersdorf;Withalmstraße 4;3;;16.5230684;48.3807886
Niederösterreich;2451;Hof/Leithageb.;Hauptstrasse 7, neben Pfarrhof;1;;;
Niederösterreich;2451;Au / Leithage.;Hauptstrasse, vor der Kirche;1;;;
Niederösterreich;2483;Weigelsdorf;Friedhof;1;;16.406365;47.9457596
Niederösterreich;2483;Ebreichsdorf;Friedhof;1;;16.406365;47.9457596
Niederösterreich;2492;Eggendorf;Kirchengasse 1, Kirche;1;;;
Niederösterreich;2492;Eggendorf;Maria Theresiensiedlung, Kirche;1;;;
Niederösterreich;2500;Sooss;Weingartenstraße;1;;;
Niederösterreich;2500;Baden;Pfarrplatz 7;2;;16.236601329525794;48.0093113
Niederösterreich;2500;Baden;Weilburgstr. 27 - 29;1;;16.225112;48.0048293
Niederösterreich;2512;Tribuswinkel;Kirchenplatz re Seite;1;;;
Niederösterreich;2521;Trumau;Pfarrhof;1;;;
Niederösterreich;2523;Tattendorf;Kirchengasse 1;1;;16.2992164;47.9602774
Niederösterreich;2531;Gaaden;Kirchenplatz 1;1;;16.199317;48.053736
Niederösterreich;2620;Loipersbach;Guntramserstraße - Bauhof;1;;;
Niederösterreich;2700;Wr.Neustadt;Wienerstrasse 62, carla süd;1;;;
Niederösterreich;2700;Wr.Neustadt;Grazerstrasse 52, Caritas Schule;1;;;
Niederösterreich;2700;Wr.Neustadt;Neunkirchnerstr., Firma Metro;1;;;
Niederösterreich;2700;Wr.Neustadt;Brunnerstrasse 5-7, Erlöserkirche;1;;;
Niederösterreich;2700;Wr.Neustadt;Felbergasse 42, Familienkirche;1;;;
Niederösterreich;2700;Wr.Neustadt;Badnerstr.;1;;;
Niederösterreich;2700;Wr.Neustadt;Anemonensee;1;;;
Niederösterreich;2700;Wr.Neustadt;Heideansiedlung, Steinabrückl;1;;;
Niederösterreich;2721;Bad Fischau;Hauptstrasse 24, Friedhof;1;;;
Niederösterreich;2721;Bad Fischau;Blätterasse 2 a, Spar;1;;;
Niederösterreich;2721;Bad Fischau;Bauhof;1;;;
Niederösterreich;2731;St.Egyden;Nr 1, Kirche;1;;16.102239197544833;47.78136445
Niederösterreich;2751;Matzendorf;Kreisverkehr;2;;;
Niederösterreich;2752;Wöllersdorf;Römerstrasse 3-9, Firma Ramonda;1;;;
Niederösterreich;2752;Wöllersdorf;Tirolerbachstr., Sammelstelle;1;;;
Niederösterreich;2763;Pernitz;Hauptstraße 91;2;;15.955378910581272;47.8954992
Niederösterreich;2770;Gutenstein;Bahnhof;1;;15.910606189783625;47.876976150000004
Niederösterreich;2811;Wiesmath;Hauptplatz 1;1;;16.288131969643487;47.618017300000005
Niederösterreich;2821;Lanzenkirchen;Haderswörth, Feuerwehr;1;;16.22147175;47.736499300000006
Niederösterreich;2821;Lanzenkirchen;Bauhof;1;;16.2122772;47.7336501
Niederösterreich;2840;Hochegg;Parkplatz;1;;16.0879282;47.6168815
Niederösterreich;2840;Grimmenstein;Hauptplatz, Gemeinde;1;;;
Niederösterreich;2842;Edlitz;Parkplatz;1;;16.1293189;47.6129377
Niederösterreich;2842;Münchendorf;Kirchenplatz;1;;16.3791318;48.0298661
Niederösterreich;2845;Wampersdorf;Kirche;1;;;
Niederösterreich;2851;Krumbach;Bundesstr., Gärtnerei Pichlbauer;1;;;
Niederösterreich;2852;Hochneukirchen;Bauhof;1;;16.1994959;47.4594154
Niederösterreich;2853;Bad Schönau;Ödhöfen 8, Fleischhauerei;1;;;
Niederösterreich;2860;Kirchschlag;Pfarrhof - Passionsspielstraße 3;2;;;
Niederösterreich;2860;Kirchschlag;Dr.-Bruno-Schimetschkeplatz 1;1;;;
Niederösterreich;2870;Aspang;Bundesstr.54;3;;;
Niederösterreich;2872;Mönichkirchen;Mönichkirchen 18, Bauhof;1;;;
Niederösterreich;2931;Warth;Hauptstraße;1;;;
Niederösterreich;2931;Wr. Neustadt;Neuklostergasse 1;1;;16.2465161;47.8120974
Niederösterreich;3002;Purkersdorf;Pfarrhofgasse 1;1;;16.17626041512569;48.20839325
Niederösterreich;2813;Lichtenegg;Hauptstrasse 28;1;;16.197267794122823;47.59864415
